x,y,z
0.264,0.06017715,0
0.261,0.059942,0
0.258,0.0597018,0
0.255,0.05945655,0
0.252,0.0592061,0
0.249,0.05895045,0
0.248,0.05886405,0
0.245,0.05860125,0
0.242,0.05833305,0
0.239,0.0580593,0
0.236,0.05777995,0
0.233,0.0574949,0
0.23,0.0572041,0
0.227,0.0569074,0
0.224,0.0566048,0
0.223,0.05650255,0
0.22,0.05619185,0
0.217,0.05587495,0
0.214,0.0555518,0
0.211,0.05522225,0
0.208,0.0548863,0
0.205,0.0545438,0
0.202,0.05419465,0
0.199,0.05383875,0
0.198,0.0537186,0
0.195,0.0533536,0
0.192,0.0529816,0
0.189,0.05260255,0
0.186,0.05221635,0
0.183,0.05182285,0
0.18,0.05142195,0
0.177,0.0510136,0
0.174,0.0505977,0
0.173,0.05045735,0
0.17,0.05003115,0
0.167,0.0495971,0
0.164,0.04915515,0
0.161,0.04870515,0
0.158,0.048247,0
0.155,0.04778055,0
0.152,0.0473057,0
0.149,0.0468224,0
0.148,0.04665935,0
0.145,0.04616455,0
0.142,0.0456609,0
0.139,0.0451484,0
0.136,0.04462685,0
0.133,0.0440962,0
0.13,0.0435562,0
0.127,0.04300685,0
0.124,0.0424479,0
0.123,0.04225945,0
0.12,0.04168755,0
0.117,0.0411058,0
0.114,0.04051395,0
0.111,0.03991195,0
0.108,0.03929955,0
0.105,0.0386766,0
0.102,0.0380429,0
0.099,0.0373983,0
0.098,0.037181,0
0.095,0.0365215,0
0.092,0.03585055,0
0.089,0.03516795,0
0.086,0.03447335,0
0.083,0.0337666,0
0.08,0.03304725,0
0.077,0.03231505,0
0.074,0.0315696,0
0.073,0.0313181,0
0.07,0.0305543,0
0.067,0.0297762,0
0.064,0.02898325,0
0.061,0.0281748,0
0.058,0.0273502,0
0.055,0.0265086,0
0.052,0.02564905,0
0.049,0.0247705,0
0.048,0.0244732,0
0.045,0.0235672,0
0.042,0.0226388,0
0.039,0.021686,0
0.036,0.02070635,0
0.033,0.01969695,0
0.03,0.018654,0
0.027,0.01757265,0
0.024,0.0164466,0
0.023,0.0160599,0
0.02,0.01486035,0
0.017,0.01359045,0
0.014,0.01222985,0
0.011,0.0107461,0
0.008,0.00908115,0
0.005,0.0071114,0
0.002,0.0044534,0
0,0,0
0.001,-0.00343035,0
0.004,-0.00682745,0
0.007,-0.00898905,0
0.01,-0.0106941,0
0.013,-0.01213775,0
0.016,-0.0134057,0
0.019,-0.0145449,0
0.022,-0.01558435,0
0.025,-0.01654365,0
0.026,-0.01684815,0
0.029,-0.01772145,0
0.032,-0.0185416,0
0.035,-0.0193159,0
0.038,-0.0200501,0
0.041,-0.0207489,0
0.044,-0.0214162,0
0.047,-0.02205515,0
0.05,-0.0226685,0
0.051,-0.0228677,0
0.054,-0.02345055,0
0.057,-0.0240127,0
0.06,-0.02455595,0
0.063,-0.02508165,0
0.066,-0.02559115,0
0.069,-0.02608555,0
0.072,-0.02656595,0
0.075,-0.0270332,0
0.076,-0.02718615,0
0.079,-0.02763715,0
0.082,-0.0280768,0
0.085,-0.02850575,0
0.088,-0.02892455,0
0.091,-0.0293338,0
0.094,-0.0297339,0
0.097,-0.03012535,0
0.1,-0.03050855,0
0.101,-0.0306345,0
0.104,-0.03100725,0
0.107,-0.03137255,0
0.11,-0.03173065,0
0.113,-0.0320819,0
0.116,-0.03242655,0
0.119,-0.0327648,0
0.122,-0.03309685,0
0.125,-0.0334229,0
0.126,-0.0335303,0
0.129,-0.03384865,0
0.132,-0.0341614,0
0.135,-0.03446875,0
0.138,-0.03477075,0
0.141,-0.0350676,0
0.144,-0.03535935,0
0.147,-0.03564615,0
0.15,-0.03592805,0
0.151,-0.03602095,0
0.154,-0.0362965,0
0.157,-0.0365674,0
0.16,-0.03683365,0
0.163,-0.03709535,0
0.166,-0.03735255,0
0.169,-0.0376053,0
0.172,-0.0378537,0
0.175,-0.0380977,0
0.176,-0.0381781,0
0.179,-0.03841635,0
0.182,-0.03865035,0
0.185,-0.03888005,0
0.188,-0.0391056,0
0.191,-0.0393269,0
0.194,-0.03954405,0
0.197,-0.039757,0
0.2,-0.0399658,0
0.201,-0.0400345,0
0.204,-0.04023775,0
0.207,-0.0404369,0
0.21,-0.0406319,0
0.213,-0.0408228,0
0.216,-0.04100955,0
0.219,-0.04119215,0
0.222,-0.04137065,0
0.225,-0.04154505,0
0.226,-0.04160225,0
0.229,-0.0417711,0
0.232,-0.04193585,0
0.235,-0.0420964,0
0.238,-0.04225285,0
0.241,-0.0424051,0
0.244,-0.0425532,0
0.247,-0.04269715,0
0.25,-0.0428369,0
0.251,-0.04288255,0
0.254,-0.04301675,0
0.257,-0.0431467,0
0.26,-0.04327245,0
0.263,-0.043394,0
0.266,-0.0435113,0
0.269,-0.04362435,0
0.272,-0.0437332,0
0.275,-0.04383775,0
0.276,-0.0438717,0
0.279,-0.04397055,0
0.282,-0.04406515,0
0.285,-0.0441555,0
0.288,-0.04424155,0
0.291,-0.0443233,0
0.294,-0.0444007,0
0.297,-0.04447385,0
0.3,-0.04454265,0
0.301,-0.04456465,0
0.304,-0.0446277,0
0.307,-0.04468645,0
0.31,-0.04474085,0
0.313,-0.04479095,0
0.316,-0.0448367,0
0.319,-0.0448781,0
0.322,-0.04491515,0
0.325,-0.0449479,0
0.326,-0.04495785,0
0.329,-0.04498485,0
0.332,-0.04500745,0
0.335,-0.0450258,0
0.338,-0.04503975,0
0.341,-0.04504945,0
0.344,-0.0450548,0
0.347,-0.04505585,0
0.35,-0.0450526,0
0.351,-0.0450506,0
0.354,-0.04504165,0
0.357,-0.0450284,0
0.36,-0.0450109,0
0.363,-0.04498915,0
0.366,-0.04496315,0
0.369,-0.04493295,0
0.372,-0.0448985,0
0.375,-0.0448599,0
0.376,-0.0448461,0
0.379,-0.0448019,0
0.382,-0.04475355,0
0.385,-0.0447011,0
0.388,-0.0446445,0
0.391,-0.0445838,0
0.394,-0.04451905,0
0.397,-0.04445025,0
0.4,-0.0443774,0
0.401,-0.04435225,0
0.404,-0.0442741,0
0.407,-0.04419195,0
0.41,-0.0441059,0
0.413,-0.04401595,0
0.416,-0.0439221,0
0.419,-0.04382445,0
0.422,-0.04372295,0
0.425,-0.04361765,0
0.426,-0.04358175,0
0.429,-0.04347145,0
0.432,-0.0433575,0
0.435,-0.04323985,0
0.438,-0.0431186,0
0.441,-0.04299375,0
0.444,-0.04286535,0
0.447,-0.04273345,0
0.45,-0.04259805,0
0.451,-0.0425522,0
0.454,-0.04241225,0
0.457,-0.04226895,0
0.46,-0.0421223,0
0.463,-0.0419724,0
0.466,-0.0418192,0
0.469,-0.0416629,0
0.472,-0.0415034,0
0.475,-0.0413408,0
0.476,-0.04128595,0
0.479,-0.0411193,0
0.482,-0.0409497,0
0.485,-0.04077715,0
0.488,-0.04060175,0
0.491,-0.0404235,0
0.494,-0.0402425,0
0.497,-0.04005875,0
0.5,-0.03987235,0
0.501,-0.03980965,0
0.504,-0.0396198,0
0.507,-0.0394274,0
0.51,-0.03923255,0
0.513,-0.03903525,0
0.516,-0.0388356,0
0.519,-0.03863365,0
0.522,-0.03842945,0
0.525,-0.0382231,0
0.526,-0.0381538,0
0.529,-0.0379446,0
0.532,-0.03773335,0
0.535,-0.03752015,0
0.538,-0.037305,0
0.541,-0.037088,0
0.544,-0.0368692,0
0.547,-0.03664865,0
0.55,-0.03642645,0
0.551,-0.036352,0
0.554,-0.0361277,0
0.557,-0.03590185,0
0.56,-0.0356745,0
0.563,-0.0354458,0
0.566,-0.0352158,0
0.569,-0.0349845,0
0.572,-0.034752,0
0.575,-0.03451835,0
0.576,-0.03444025,0
0.579,-0.0342052,0
0.582,-0.0339692,0
0.585,-0.03373225,0
0.588,-0.0334945,0
0.591,-0.03325595,0
0.594,-0.03301665,0
0.597,-0.0327767,0
0.6,-0.0325362,0
0.601,-0.0324559,0
0.604,-0.0322147,0
0.607,-0.03197305,0
0.61,-0.03173105,0
0.613,-0.03148875,0
