39 1
7.366 0.0 -1.440269
7.232332173325934 0.0 -1.474132174347836
7.098695641175328 0.0 -1.5092032913854987
6.965077807711491 0.0 -1.5449961622476258
6.831451683846293 0.0 -1.5804690304826619
6.697803224664484 0.0 -1.6150797739929459
6.564126229781853 0.0 -1.6485890630825868
6.430417438771646 0.0 -1.6808710479789137
6.296673702674692 0.0 -1.7118041814655856
6.162888821106775 0.0 -1.7411491338467102
6.029057025620565 0.0 -1.7686832478321781
5.895173411642481 0.0 -1.7942172109434416
5.761233590136507 0.0 -1.8175816100249798
5.627235122749305 0.0 -1.8386823266570618
5.493182245248962 0.0 -1.857682857980251
5.22493187499494 0.0 -1.8901018916071677
4.956511656013859 0.0 -1.9159649050252754
4.687940718929365 0.0 -1.9360103244648195
4.4192311161736875 0.0 -1.9507033638290512
4.15038917353207 0.0 -1.9602881931897325
3.8814160614141153 0.0 -1.9648099893883355
3.612307251449332 0.0 -1.964093961073929
3.3430509977413365 0.0 -1.9576867263731712
3.0736243797687166 0.0 -1.9447035721405737
2.80398417597681 0.0 -1.9234761821589355
2.5340413655684726 0.0 -1.8905684273786965
2.3988958549689814 0.0 -1.867394225909892
2.2635523082777986 0.0 -1.8365759953001661
2.1278257589771474 0.0 -1.790974181138372
2.045842721427353 0.0 -1.7424951780953486
2.0320348935875314 0.0 -1.728857517114745
2.018115514565687 0.0 -1.7109140728862529
2.003967041797301 0.0 -1.684127799759219
1.9951992863962404 0.0 -1.6572995374924973
1.9886877582831595 0.0 -1.6136931682969482
1.9933143277955088 0.0 -1.5845416964827888
2.0010573756547965 0.0 -1.5718170962214981
2.014155977074923 0.0 -1.558079204728881
2.036636 0.0 -1.538987
