x,y
1,-0.0065
0.975,-0.0007299
0.95,0.0051835
0.925,0.0111848
0.9,0.0171189
0.875,0.0229053
0.85,0.0285096
0.825,0.0339034
0.8,0.0390295
0.775,0.0438377
0.75,0.0482886
0.725,0.0523487
0.7,0.0559983
0.675,0.0592594
0.65,0.0621577
0.6,0.0669387
0.55,0.0704639
0.5,0.072884
0.45,0.0743143
0.4,0.0748074
0.35,0.0743729
0.3,0.072978
0.25,0.0705376
0.2,0.0668845
0.15,0.0616935
0.1,0.0542937
0.075,0.0493152
0.05,0.0428867
0.025,0.0335106
0.01,0.0237701
0.005,0.0178532
0.0025,0.013083
0.001,0.0083654
0.0005,0.0058203
0,0
0.0005,-0.0042283
0.001,-0.0055816
0.0025,-0.0079131
0.005,-0.0103799
0.01,-0.0137592
0.025,-0.0201685
0.05,-0.0270534
0.075,-0.0320761
0.1,-0.0361008
0.15,-0.0423322
0.2,-0.0469597
0.25,-0.0504413
0.3,-0.0529934
0.35,-0.0547076
0.4,-0.0556175
0.45,-0.0557204
0.5,-0.0549204
0.55,-0.0528414
0.6,-0.0489905
0.65,-0.0429922
0.675,-0.0393059
0.7,-0.0352713
0.725,-0.0309786
0.75,-0.0265369
0.775,-0.0221052
0.8,-0.0178867
0.825,-0.0141433
0.85,-0.0111547
0.875,-0.0089912
0.9,-0.0076704
0.925,-0.007224
0.95,-0.0077131
0.975,-0.0092981
1,-0.0125
