39 1
7.366 0.0 -1.440269
7.232099045235996 0.0 -1.474842964189723
7.098218058005485 0.0 -1.5101890572387537
6.964349318829363 0.0 -1.5460087729446796
6.830471215952957 0.0 -1.5814664017047195
6.696572532443635 0.0 -1.6161281935316145
6.562648474978634 0.0 -1.6498087943935416
6.428695086279857 0.0 -1.6823551794502758
6.294704396054803 0.0 -1.7134591437419253
6.1606694093964105 0.0 -1.742850199698796
6.026584636278027 0.0 -1.7703160522960681
5.89244540878359 0.0 -1.7956761968806585
5.758248981899771 0.0 -1.8188244859401572
5.623998421123687 0.0 -1.839879459843753
5.489697307513332 0.0 -1.8589795952954518
5.220953565798454 0.0 -1.8917076117012057
4.952034839934526 0.0 -1.9176691283057155
4.682962128576792 0.0 -1.9376761466379266
4.413751497716966 0.0 -1.95234992599636
4.144410276679966 0.0 -1.961973885627348
3.8749398031372646 0.0 -1.9665997522374465
3.6053355067113424 0.0 -1.9660507929125912
3.335585529501988 0.0 -1.9598684719519672
3.0656665737311144 0.0 -1.947151882549738
2.795533325777705 0.0 -1.9261487825213481
2.525092301913782 0.0 -1.8932442294263978
2.3896936288630286 0.0 -1.8699026021496101
2.254092911684128 0.0 -1.8387480869035597
2.118081473627904 0.0 -1.7917113174656427
2.035901245787093 0.0 -1.7413176806777555
2.008135787340094 0.0 -1.7101329522745732
1.9940006074619943 0.0 -1.6847785192603513
1.9852609555083154 0.0 -1.6595681647144316
1.9822122199944001 0.0 -1.6459243308478781
1.9787071155642764 0.0 -1.6146330689282633
1.980812040252272 0.0 -1.591780478401013
1.9833175696771086 0.0 -1.5844189588473032
1.991074994552367 0.0 -1.5716473626455385
2.036636 0.0 -1.538987
