x,y
1.00000000,0.00670480
0.99000000,0.00974350
0.97500000,0.01399260
0.96000020,0.01801930
0.95000000,0.02060800
0.94000000,0.02313070
0.92500000,0.02680400
0.91000010,0.03035710
0.90000000,0.03266440
0.89000000,0.03492550
0.88000010,0.03714230
0.87000000,0.03931650
0.86000010,0.04144950
0.85000000,0.04354250
0.84000000,0.04559660
0.83000020,0.04761280
0.82000000,0.04959140
0.81000010,0.05152950
0.80000000,0.05342050
0.79000000,0.05525850
0.78000000,0.05703820
0.77000000,0.05875480
0.76000000,0.06040370
0.75000000,0.06198090
0.74000000,0.06348240
0.73000000,0.06490440
0.72000000,0.06624360
0.71000000,0.06750040
0.70000000,0.06867880
0.69000000,0.06978280
0.68000000,0.07081570
0.67000000,0.07178090
0.66000000,0.07268120
0.65000000,0.07351940
0.64000000,0.07429800
0.63000000,0.07501940
0.62000000,0.07568560
0.61000000,0.07629880
0.60000000,0.07686060
0.59000000,0.07737280
0.58000000,0.07783680
0.57000000,0.07825380
0.56000000,0.07862480
0.55000000,0.07895110
0.54000000,0.07923340
0.53000000,0.07947280
0.52000000,0.07966990
0.51000000,0.07982550
0.50000000,0.07994030
0.49000000,0.08001480
0.48000000,0.08004960
0.47000000,0.08004510
0.46000000,0.08000170
0.45000000,0.07991970
0.44000000,0.07979940
0.43000000,0.07964110
0.42000000,0.07944490
0.41000000,0.07921090
0.40000000,0.07893910
0.39000000,0.07862960
0.38000000,0.07828220
0.37000000,0.07789680
0.36000000,0.07747320
0.35000000,0.07701110
0.34000000,0.07651020
0.33000000,0.07597000
0.32000000,0.07539010
0.31000000,0.07476980
0.30000000,0.07410840
0.29000000,0.07340520
0.28000000,0.07265920
0.27000000,0.07186930
0.26000000,0.07103450
0.25000000,0.07015340
0.24000000,0.06922440
0.23000000,0.06824580
0.22000000,0.06721580
0.21000000,0.06613210
0.20000000,0.06499210
0.19000000,0.06379310
0.18000000,0.06253170
0.17000000,0.06120430
0.16000000,0.05980640
0.15000000,0.05833290
0.14000000,0.05677800
0.13000000,0.05513430
0.12000000,0.05339340
0.11000000,0.05154500
0.10000000,0.04957610
0.09000000,0.04747080
0.08000000,0.04520890
0.07000000,0.04276370
0.06000000,0.04009870
0.05000000,0.03716140
0.04000000,0.03387160
0.03000000,0.03009470
0.02000000,0.02555840
0.01000000,0.01916480
0.00500000,0.01384920
0.00100000,0.00574380
0.00010000,0.00162240
0.00005000,0.00112440
0.00000000,0.00000000
0.00005000,-0.00100490
0.00010000,-0.00138900
0.00100000,-0.00381430
0.00500000,-0.00722550
0.01000000,-0.00934330
0.02000000,-0.01233280
0.03000000,-0.01468750
0.04000000,-0.01670800
0.05000000,-0.01851160
0.06000000,-0.02015880
0.07000000,-0.02168560
0.08000000,-0.02311570
0.09000000,-0.02446550
0.10000000,-0.02574690
0.11000000,-0.02696910
0.12000000,-0.02813920
0.13000000,-0.02926280
0.14000000,-0.03034450
0.15000000,-0.03138810
0.16000000,-0.03239650
0.17000000,-0.03337100
0.18000000,-0.03431240
0.19000000,-0.03522130
0.20000000,-0.03609830
0.21000000,-0.03694400
0.22000000,-0.03775860
0.23000000,-0.03854260
0.24000000,-0.03929630
0.25000000,-0.04001970
0.26000000,-0.04071310
0.27000000,-0.04137650
0.28000000,-0.04201000
0.29000000,-0.04261350
0.30000000,-0.04318700
0.31000000,-0.04373040
0.32000000,-0.04424360
0.33000000,-0.04472640
0.34000000,-0.04517860
0.35000000,-0.04560000
0.36000000,-0.04599030
0.37000000,-0.04634910
0.38000000,-0.04667610
0.39000000,-0.04697090
0.40000000,-0.04723310
0.41000000,-0.04746210
0.42000000,-0.04765760
0.43000000,-0.04781880
0.44000000,-0.04794520
0.45000000,-0.04803620
0.46000000,-0.04809110
0.47000000,-0.04810900
0.48000000,-0.04808940
0.49000000,-0.04803110
0.50000000,-0.04793350
0.51000000,-0.04779450
0.52000000,-0.04760820
0.53000000,-0.04736760
0.54000000,-0.04706560
0.55000000,-0.04669490
0.56000000,-0.04624810
0.57000000,-0.04571760
0.58000000,-0.04509540
0.59000000,-0.04437330
0.60000000,-0.04354280
0.61000000,-0.04259760
0.62000000,-0.04154170
0.63000000,-0.04038150
0.64000000,-0.03912370
0.65000000,-0.03777470
0.66000000,-0.03634130
0.67000000,-0.03483040
0.68000000,-0.03324880
0.69000000,-0.03160390
0.70000000,-0.02990310
0.71000000,-0.02815420
0.72000000,-0.02636550
0.73000000,-0.02454560
0.74000000,-0.02270370
0.75000000,-0.02084970
0.76000000,-0.01899410
0.77000000,-0.01714860
0.78000000,-0.01532550
0.79000000,-0.01353880
0.80000000,-0.01180380
0.81000010,-0.01013760
0.82000000,-0.00855960
0.83000020,-0.00709100
0.84000000,-0.00574410
0.85000000,-0.00452020
0.86000010,-0.00342040
0.87000000,-0.00244600
0.88000010,-0.00159880
0.89000000,-0.00088090
0.90000000,-0.00029530
0.91000010,0.00015450
0.92500000,0.00056490
0.94000000,0.00064010
0.95000000,0.00049010
0.96000020,0.00016610
0.97500000,-0.00068650
0.99000000,-0.00208210
1.00000000,-0.00348570
